Designator,Mid X,Mid Y,Rotation,Layer
C1,138.1895,-91.44,0.0,top
C10,184.8905,-68.072,0.0,top
C11,228.5785,-74.676,0.0,top
C12,187.4305,-132.08,0.0,top
C13,133.5825,-130.556,0.0,top
C2,138.2034,-115.316,0.0,top
C3,65.04,-82.804,0.0,top
C4,178.832,-48.26,0.0,top
C5,210.328,-120.904,0.0,top
C6,252.492,-58.928,0.0,top
C7,72.6225,-59.944,0.0,top
C8,158.4745,-96.52,0.0,top
C9,71.0985,-112.268,0.0,top
D1,88.3905,-114.173,0.0,top
D2,99.0965,-57.404,0.0,top
D3,157.122,-58.751,90.0,top
D4,247.396,-137.16,0.0,top
D5,240.258,-134.62,0.0,top
D6,173.861,-107.696,180.0,top
D7,173.861,-111.086,180.0,top
D8,173.861,-114.476,180.0,top
J1,125.73,-143.51,270.0,top
J2,108.458,-44.958,90.0,top
J3,54.102,-72.39,0.0,top
J4,241.554,-44.958,90.0,top
J5,251.714,-84.074,0.0,top
J6,253.492,-132.588,0.0,top
J7,53.848,-101.092,0.0,top
J8,53.848,-107.696,0.0,top
R1,88.453,-116.713,180.0,top
R10,179.806,-110.936,0.0,top
R11,179.806,-114.226,0.0,top
R2,105.0415,-57.354,0.0,top
R3,156.972,-52.806,90.0,top
R4,254.0,-137.16,270.0,top
R5,243.866,-88.392,0.0,top
R6,247.3595,-139.7,0.0,top
R7,242.824,-78.74,0.0,top
R8,240.284,-132.08,0.0,top
R9,179.806,-107.646,0.0,top
U1,145.831,-81.28,90.0,top
U10,117.602,-60.009,90.0,top
U11,96.555,-71.563,90.0,top
U12,197.607,-73.147,0.0,top
U13,197.602,-109.972,0.0,top
U14,177.546,-91.694,0.0,top
U15,215.895,-62.225,0.0,top
U16,215.83,-78.227,0.0,top
U17,215.387,-103.373,0.0,top
U18,58.993,-53.594,0.0,top
U19,73.595,-53.594,0.0,top
U2,130.491,-55.372,0.0,top
U20,86.903,-53.721,0.0,top
U21,148.779,-56.896,0.0,top
U22,174.244,-137.16,0.0,top
U23,237.679,-69.088,0.0,top
U24,247.331,-96.774,0.0,top
U25,202.627,-138.684,0.0,top
U26,216.851,-138.684,0.0,top
U27,230.059,-138.684,0.0,top
U28,188.976,-138.684,0.0,top
U29,232.091,-117.094,0.0,top
U3,88.427,-84.836,0.0,top
U30,249.871,-69.088,0.0,top
U31,248.158,-117.094,0.0,top
U32,233.934,-92.202,0.0,top
U33,243.332,-57.977,90.0,top
U34,58.242,-126.619,0.0,top
U35,71.185,-124.46,0.0,top
U36,158.566,-80.899,0.0,top
U37,133.096,-80.772,0.0,top
U38,132.623,-104.775,0.0,top
U39,157.953,-104.775,0.0,top
U4,104.613,-84.963,0.0,top
U5,104.683,-104.394,0.0,top
U6,88.427,-104.14,0.0,top
U7,145.288,-105.156,90.0,top
U8,118.459,-94.996,0.0,top
U9,119.445,-75.184,0.0,top
